n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4663,0.09532718300985914,0.1064806625558514,0.8952534734638601,-0.25791642153344296,0.3568518121381085,0.051424022824186275,2.143416319702521,0.3599258668971367,P_md,P_lead,5,10,0.003,0.046536564443491316,11.727214239759812
4663,0.08359996877009934,0.10661959565082427,0.7840957214271056,-0.2682679808057622,0.35556508685395666,0.03970038039904428,1.637265159216602,0.3598965845295969,P_md,P_lead,5,10,0.005,0.046536564443491316,11.727214239759812
4663,0.06600914741045963,0.10702377166259369,0.6167708947743125,-0.2835441666501376,0.35191936521552647,0.022114916761331243,0.8970242387085315,0.3598526609782874,P_md,P_lead,5,10,0.008,0.046536564443491316,11.727214239759812
4663,0.05428193317069981,0.1074225940914222,0.5053120680040837,-0.29356319367181416,0.35063263993137467,0.01039127433618926,0.41669065805188366,0.3598233786107476,P_md,P_lead,5,10,0.01,0.046536564443491316,11.727214239759812
4653,0.11847360073408997,0.11238162023678144,1.054207978889013,-0.35671617088451224,0.3541800988609499,0.06923219912702823,2.724998983929758,0.4068479052887984,P_md,P_lead,5,20,0.0,0.026219643240919837,6.607350096711799
4653,0.10856257558902226,0.11236792157355663,0.9661349437522224,-0.37196199290688026,0.35310552331828926,0.05930216349958393,2.31797415628115,0.40700497585708095,P_md,P_lead,5,20,0.003,0.026219643240919837,6.607350096711799
4653,0.10195522549231045,0.11243036072884725,0.906830013097618,-0.3819369656787057,0.35224586288416077,0.05268213974795438,2.0492397274128438,0.40710968956926924,P_md,P_lead,5,20,0.005,0.026219643240919837,6.607350096711799
4653,0.09204420034724277,0.1126311387959615,0.8172180564913468,-0.3966213056513108,0.35009671179883944,0.04275210412051009,1.6503911128631314,0.4072667601375519,P_md,P_lead,5,20,0.008,0.026219643240919837,6.607350096711799
4653,0.08543685025053095,0.1128361072326849,0.7571765133154357,-0.40622846227568765,0.3490221362561788,0.03613208036888056,1.3875050511359917,0.4073714738497402,P_md,P_lead,5,20,0.01,0.026219643240919837,6.607350096711799
4672,0.23498278359594435,0.09373818489160478,2.5067989514376605,-0.15795015666866075,0.3910530821917808,0.20230295167228243,8.474203674113856,0.27189136697472827,P_md,P_lead,10,1,0.0,0.1583904109589041,39.91438356164383
4672,0.17511120825347856,0.09409938386805494,1.8609176920756194,-0.20106624754663516,0.3844178082191781,0.14239043581188424,5.626200552290624,0.27223198602721727,P_md,P_lead,10,1,0.003,0.1583904109589041,39.91438356164383
4672,0.13519682469183472,0.09478356398548841,1.426374141328276,-0.22861057390953388,0.3767123287671233,0.10244875857161863,3.888853469391272,0.2724590653955432,P_md,P_lead,10,1,0.005,0.1583904109589041,39.91438356164383
4672,0.07532524934936898,0.09645603732554613,0.7809283009952067,-0.3033991285085127,0.3685787671232877,0.04253624271122025,1.5192406401768144,0.2727996844480324,P_md,P_lead,10,1,0.008,0.1583904109589041,39.91438356164383
4672,0.03541086578772514,0.09798466559677332,0.3613919134392723,-0.4619763783804499,0.3625856164383562,0.00259456547095475,0.0889790937320964,0.2730267638163585,P_md,P_lead,10,1,0.01,0.1583904109589041,39.91438356164383
4668,0.14593645901611335,0.10110587820530066,1.443402318505972,-0.2866624401919271,0.3731790916880891,0.10710595490809337,4.407040804323922,0.31787945992425287,P_md,P_lead,10,5,0.0,0.06940874035989718,17.49100257069409
4668,0.11969995516007224,0.10120030753143573,1.1828022866718069,-0.3201408326974995,0.3703941730934019,0.08079080165483975,3.2251909220298502,0.31852331012613855,P_md,P_lead,10,5,0.003,0.06940874035989718,17.49100257069409
4668,0.10220895258937815,0.1014639796025658,1.0073422409581254,-0.3416086871141255,0.3671808054841474,0.06324736615267064,2.473576424393396,0.31895254359406205,P_md,P_lead,10,5,0.005,0.06940874035989718,17.49100257069409
4668,0.07597244873333701,0.1021574581564948,0.7436799045739273,-0.37258404630955144,0.363324764353042,0.03693221289941702,1.400119252633404,0.3195963937959476,P_md,P_lead,10,5,0.008,0.06940874035989718,17.49100257069409
4668,0.05848144616264292,0.10281529788057506,0.5688010186049547,-0.39358886602337007,0.36032562125107115,0.019388777397247946,0.7198219275863763,0.3200256272638714,P_md,P_lead,10,5,0.01,0.06940874035989718,17.49100257069409
4663,0.14296172539253257,0.10582983657926624,1.3508640853418938,-0.2446681322987363,0.378940596182715,0.100549663381227,3.870500971428887,0.3477015805184758,P_md,P_lead,10,10,0.0,0.041389663306883984,10.430195153334765
4663,0.12731643266253043,0.10583269913141104,1.2029971238326196,-0.24918950363194248,0.3767960540424619,0.08489807651599143,3.2129110487110646,0.3477531809515808,P_md,P_lead,10,10,0.003,0.041389663306883984,10.430195153334765
