n,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,F_lag5,p_lag5,weight,industry_code,industry_name,src,dst,freq,lags,F_lag4,p_lag4
580,0.8756087159776136,0.34979938227773816,0.7179975964304365,0.4881661743293816,,,,,VW,C200,醫療器材,中游,下游,W,"1,2,4",0.6363615020510252,0.6367348628224817
135,0.7498877411737939,0.38809497224112743,0.5289371722153691,0.5905131334091566,0.6555081271091444,0.5809630834254274,,,VW,C200,醫療器材,中游,下游,M,"1,2,3",,
2746,0.1690356861111815,0.6810023789389036,2.8077683500500363,0.06051318433622981,2.0577303028169687,0.10374554100831877,1.4135635030946827,0.21602900056980068,VW,C200,醫療器材,下游,中游,D,"1,2,3,5",,
580,5.539853515916699,0.01892316130204395,3.0507287030998973,0.0480938674924911,,,,,VW,C200,醫療器材,下游,中游,W,"1,2,4",1.5331548415831002,0.19105165617452663
135,1.1030573769521947,0.29552976225462874,0.5973786997297479,0.5517788489560582,0.4740329569652892,0.7009229438861688,,,VW,C200,醫療器材,下游,中游,M,"1,2,3",,
2739,0.2607329826673812,0.6096582424898108,0.4636042674209578,0.6290619016600596,0.6854842478437578,0.5608541921058295,0.43480327229617854,0.8245328132176742,VW,C300,食品生技,上游,下游,D,"1,2,3,5",,
578,0.5293681429968683,0.467169287468034,0.33423001036840577,0.7160290614570561,,,,,VW,C300,食品生技,上游,下游,W,"1,2,4",0.7018447626031632,0.5909048210750505
135,0.6836007721737465,0.4098530096943683,2.102713406464462,0.12632344828857217,2.5894579804804003,0.05587579942260014,,,VW,C300,食品生技,上游,下游,M,"1,2,3",,
2739,0.057427832823284536,0.810626495997402,3.9381469635393676,0.0195949958992635,2.938021210048478,0.032050259001129656,2.5596567272715784,0.025577638053211848,VW,C300,食品生技,下游,上游,D,"1,2,3,5",,
578,0.5573254289868045,0.45564553313826855,0.5353404508712176,0.5857634911871106,,,,,VW,C300,食品生技,下游,上游,W,"1,2,4",1.131728564802577,0.34055498767541514
135,0.22670199794518603,0.6347732298970569,0.41172724481981726,0.6633791859152126,0.43010719098783023,0.7317894037956841,,,VW,C300,食品生技,下游,上游,M,"1,2,3",,
2740,0.03683455097542599,0.8478165326178682,0.15323524636939104,0.85793524416874,0.45697852652936694,0.7123834284650499,0.274657266512299,0.9271688657698678,VW,C300,食品生技,上游,中游,D,"1,2,3,5",,
578,0.6290108220372607,0.42804608207377665,0.7256087188686995,0.4844756060406844,,,,,VW,C300,食品生技,上游,中游,W,"1,2,4",0.8242617353491254,0.5099985062600776
135,0.033142539726927725,0.8558241685022908,0.999817225143099,0.37080165754559874,0.913773786233623,0.43641963030289244,,,VW,C300,食品生技,上游,中游,M,"1,2,3",,
2740,0.32476373140189985,0.5688055714500636,3.231800804937672,0.039637280300587795,2.6972793638770374,0.044360053204789925,1.907767483024281,0.0897881305208226,VW,C300,食品生技,中游,上游,D,"1,2,3,5",,
578,0.9224310126119573,0.3372418645813503,0.8971208965758243,0.408315818166238,,,,,VW,C300,食品生技,中游,上游,W,"1,2,4",1.543191845931112,0.18821293348237972
135,0.47463540844622387,0.49208074045293265,0.41934148108518393,0.6583795792152797,0.46990369328059056,0.7037999660509501,,,VW,C300,食品生技,中游,上游,M,"1,2,3",,
2739,0.4439426402173889,0.5052818198172221,0.25778526073902486,0.7727799509776925,0.17248283230877262,0.9150315356371032,0.738684069450674,0.5944134121673592,VW,C300,食品生技,中游,下游,D,"1,2,3,5",,
578,1.2357584167783657,0.26675546989354165,3.112700306628676,0.04523634905070911,,,,,VW,C300,食品生技,中游,下游,W,"1,2,4",2.05764667077031,0.08500964774505514
135,0.4392216984051293,0.5086627301130903,0.33386790345887035,0.7167701380631699,0.266124168457076,0.8497050591190862,,,VW,C300,食品生技,中游,下游,M,"1,2,3",,
2739,0.09452506598539463,0.7585248241442422,1.6940606491135846,0.18396475983117055,1.0088170710995266,0.3877365052214567,2.287656070785843,0.04364968108650045,VW,C300,食品生技,下游,中游,D,"1,2,3,5",,
