A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
5100,B000,859,0.05535299631938245,1.2461541542253796,0.21270780654821275,0,0,0,區塊鏈,休閒娛樂
5100,C100,859,0.048803263572422984,0.9254316655173261,0.3547414137787662,0,0,0,區塊鏈,製藥
5100,C200,859,0.04595150294493558,1.1167061764669257,0.2641199761095889,0,0,0,區塊鏈,醫療器材
5100,C300,859,0.03516877509789859,0.7022907810247605,0.48249784133769047,0,0,0,區塊鏈,食品生技
5100,C400,859,-0.025830272043305316,-0.43156441209028434,0.6660580284247319,0,0,0,區塊鏈,再生醫療
5100,D000,859,0.0763914364962359,1.4781623047944927,0.13936434076047424,0,0,1,區塊鏈,半導體
5100,F000,859,0.05887645167416154,1.316272799981177,0.1880824968141448,0,0,5,區塊鏈,電腦週邊
5100,G000,859,0.04969545693907051,1.1017721976767352,0.2705607201889937,0,0,1,區塊鏈,平面顯示器
5100,H000,859,0.05226647635067118,1.1339320805105726,0.2568230391197034,0,0,0,區塊鏈,觸控面板
5100,I000,859,0.06069664238936483,1.3444822782225063,0.17879248332779163,0,0,2,區塊鏈,通信網路
5100,J000,859,0.07271302403151034,1.3461412220444458,0.178256976674257,0,0,0,區塊鏈,被動元件
5100,K000,859,0.04940018910301905,1.1083205096769808,0.26772342095121693,0,0,0,區塊鏈,連接器
5100,L000,859,0.07527001462952765,1.584887947788834,0.11299179531967035,0,0,0,區塊鏈,印刷電路板
5100,M000,859,0.05071593434688892,1.4643129192513313,0.14310846883178707,0,0,0,區塊鏈,食品
5100,N000,859,0.07410438002846256,2.129696683748326,0.033196662962650336,0,0,0,區塊鏈,石化及塑橡膠
5100,O000,859,0.05029767792794286,1.3060899373147046,0.1915219745551371,0,0,0,區塊鏈,紡織
5100,P000,859,0.060517925710155684,1.6619361160920685,0.09652558424036502,0,0,0,區塊鏈,電機機械
5100,Q000,859,0.10138061902211629,2.25132179479022,0.024365163368728328,0,0,0,區塊鏈,鋼鐵
5100,R000,859,0.06988738252773409,1.7633100922476546,0.07784820408393474,0,0,5,區塊鏈,軟體服務
5100,R300,859,0.04564716024826382,1.0254857815813943,0.3051340309185189,0,0,3,區塊鏈,電子商務
5100,S000,859,0.054810230166509745,1.389656502086037,0.16463320938504689,0,0,0,區塊鏈,建材營造
5100,T000,859,0.10905398307929559,2.2507102116206728,0.02440389757692575,0,0,0,區塊鏈,交通運輸及航運
5100,U000,859,0.04855082442622191,1.3117951459723776,0.18958926316321023,0,0,0,區塊鏈,金融
5100,V000,859,0.04236053369345861,1.2151904778524496,0.22429345133671164,0,0,0,區塊鏈,貿易百貨
5100,W000,859,0.0356885840498833,1.7959873878950814,0.07249652288255397,0,0,0,區塊鏈,油電燃氣
5100,X000,859,0.060652960990417684,1.6685448696018512,0.09520761251381415,0,0,1,區塊鏈,其他
5100,Y000,859,0.056826098579144994,1.276099568719595,0.20192032405453386,0,0,2,區塊鏈,文化創意
5200,1000,859,0.07882534366537022,1.9047962291385063,0.056806564258064365,0,0,0,金融科技,水泥
5200,2000,859,0.0669903654297928,1.31780208967866,0.1875699082213953,0,0,0,金融科技,造紙
5200,3000,859,0.03799210372951983,0.9415546369075531,0.3464207039068653,0,0,0,金融科技,汽車
5200,4100,859,0.021926253138279103,0.38632386551021164,0.6992568277431295,0,0,1,金融科技,太空衛星科技
5200,5100,859,0.020020841532668705,0.31716442332593114,0.7511188434331,0,0,4,金融科技,區塊鏈
5200,5300,859,0.012750025935925877,0.20920675823116688,0.8342868368536195,0,0,15,金融科技,人工智慧
5200,5400,859,0.021127826091811373,0.3479544022804095,0.7278744278683107,0,0,15,金融科技,雲端運算
